Participant,Age,Intl,English,Eng_cat,Math,Math_cat,Career,Car_cat,Affect,Cognitive,Value,Difficulty
43,21,2,8,Lower,1,Low,0,A,4,1.333333333,2.333333333,3.142857143
1,20,2,10,Upper,4,Low,0,A,4.666666667,4.833333333,5.444444444,2.857142857
25,21,2,10,Upper,6,Med,0,A,3.166666667,4.5,3.888888889,3.714285714
70,30,2,10,Upper,2,Low,2,A,3.666666667,3.666666667,5.111111111,2
85,19,1,8,Lower,3,Low,2,A,3,2.166666667,4.777777778,2.285714286
62,32,2,10,Upper,3,Low,2,A,1.166666667,2.5,4.111111111,1.428571429
83,21,2,8,Lower,5,Low,2,A,3.5,3.833333333,3.666666667,3.571428571
64,20,2,10,Upper,8,High,2,A,4.333333333,5.5,5.666666667,3.142857143
35,19,2,10,Upper,6,Med,3,A,4.166666667,5.5,5.222222222,4.571428571
29,20,2,10,Upper,8,High,3,A,5.666666667,6.833333333,5.111111111,3.714285714
86,21,2,10,Upper,8,High,3,A,4.833333333,5.5,5.444444444,4.142857143
15,22,1,8,Lower,4,Low,4,A,2.166666667,3,4.222222222,2.714285714
3,19,2,10,Upper,6,Med,4,A,4.666666667,6.666666667,6.222222222,4.285714286
44,19,2,10,Upper,8,High,4,A,3.166666667,4.333333333,4.222222222,3.571428571
22,21,2,6,Lower,2,Low,5,B,3.333333333,4,5.333333333,3.428571429
46,19,1,6,Lower,5,Low,5,B,2.333333333,2.5,5.333333333,1.142857143
84,20,1,9,Lower,5,Low,5,B,3.5,4.5,5.888888889,5
57,30,2,10,Upper,5,Low,5,B,1.833333333,1.666666667,3.888888889,2
58,30,2,10,Upper,5,Low,5,B,1.166666667,1,4,1.142857143
96,20,1,7,Lower,6,Med,5,B,3.166666667,4.166666667,5.111111111,3.142857143
77,19,1,7,Lower,7,Med,5,B,4.5,5.333333333,4.888888889,3.285714286
49,22,1,6,Lower,8,High,5,B,3.5,5.666666667,5.333333333,3.428571429
37,20,1,8,Lower,8,High,5,B,3.333333333,5,4.888888889,3.714285714
24,24,2,9,Lower,8,High,5,B,3.666666667,4.5,4.777777778,2.571428571
66,21,1,10,Upper,8,High,5,B,5.833333333,6.166666667,6.888888889,4.285714286
47,20,2,10,Upper,8,High,5,B,4.833333333,5.5,4.444444444,3.857142857
18,19,2,10,Upper,8,High,5,B,3.333333333,5,5.111111111,3.571428571
12,19,1,7,Lower,6,Med,6,C,3.166666667,4.833333333,5.222222222,3.714285714
89,20,2,9,Lower,6,Med,6,C,4,6.666666667,6.333333333,4.142857143
7,19,2,10,Upper,6,Med,6,C,4.333333333,5.833333333,5.666666667,3.428571429
2,20,2,7,Lower,7,Med,6,C,4.166666667,5,4.888888889,2.571428571
75,21,2,8,Lower,8,High,6,C,4,4.833333333,4.777777778,3.285714286
97,20,2,7,Lower,5,Low,7,C,3.166666667,4.666666667,4.222222222,2.857142857
38,19,2,10,Upper,5,Low,7,C,3.166666667,3.5,5.555555556,3.285714286
71,19,1,7,Lower,6,Med,7,C,2.833333333,3.5,5.444444444,3.428571429
95,19,2,7,Lower,6,Med,7,C,4.666666667,5.333333333,5.333333333,3.857142857
48,19,1,10,Upper,6,Med,7,C,4.666666667,4.333333333,5.555555556,2.714285714
91,20,1,10,Upper,6,Med,7,C,5.666666667,5,5.666666667,3.857142857
78,21,1,10,Upper,6,Med,7,C,5.333333333,6.166666667,5.777777778,5
60,18,2,10,Upper,6,Med,7,C,3.833333333,4.5,6.222222222,2.714285714
23,20,1,7,Lower,8,High,7,C,4.5,4.333333333,5.444444444,3
56,19,2,10,Upper,8,High,7,C,4.333333333,5,5.666666667,3.285714286
21,19,2,10,Upper,8,High,7,C,3.5,4.5,4.555555556,3.714285714
33,20,2,10,Upper,8,High,7,C,4.833333333,5.666666667,6.666666667,4.714285714
10,19,2,5,Lower,5,Low,8,D,4.5,6.166666667,6.222222222,3.142857143
94,21,2,7,Lower,5,Low,8,D,3,3.5,6.555555556,2.428571429
8,20,1,10,Upper,5,Low,8,D,5.166666667,5.5,6.222222222,4
82,20,2,10,Upper,5,Low,8,D,2.166666667,3,5,1.714285714
42,19,2,8,Lower,6,Med,8,D,3.5,4,5.777777778,3.571428571
39,19,2,10,Upper,6,Med,8,D,4,4.333333333,6.555555556,2.428571429
98,23,2,10,Upper,6,Med,8,D,1.5,4.166666667,5.333333333,2.428571429
19,18,1,7,Lower,7,Med,8,D,3.666666667,4.166666667,4.888888889,2.428571429
50,19,2,10,Upper,8,High,8,D,4.666666667,5.666666667,5.888888889,3.857142857
67,22,2,10,Upper,8,High,8,D,5.166666667,6.833333333,6.333333333,3.714285714
17,19,2,10,Upper,8,High,8,D,4.666666667,6.166666667,5.555555556,5.142857143
79,20,2,10,Upper,8,High,8,D,4,4.666666667,6.111111111,3.428571429
76,19,1,10,Upper,2,Low,9,D,1.833333333,2.666666667,4.444444444,3.857142857
63,19,1,8,Lower,6,Med,9,D,5.666666667,6.166666667,5.777777778,3.428571429
51,24,1,7,Lower,8,High,9,D,4.666666667,4.666666667,5.555555556,2.857142857
9,19,1,8,Lower,3,Low,10,D,4.833333333,6.333333333,6.444444444,2.714285714
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,, ,,,,,,